year,month,day,hour,Longitude,Latitude
2022,1,8,22,-122.37617,47.642944
2022,1,17,6,-122.386841,47.558956
2022,1,26,9,-122.386841,47.558956
2022,1,6,19,-122.317775,47.704114
2022,1,5,11,-122.385949,47.643138
2022,1,8,18,-122.324169,47.67914
2022,1,7,9,-122.319215,47.595825
2022,1,30,12,-122.319215,47.595825
2022,1,22,13,-122.341277,47.612626
2022,1,7,7,-122.341277,47.612626
2022,1,17,11,-122.341277,47.612626
2022,1,26,8,-122.341277,47.612626
2022,1,25,23,-122.27378,47.550409
2022,1,17,2,-122.315658,47.67498
2022,1,5,21,-122.315658,47.67498
2022,1,17,18,-122.315658,47.675065
2022,1,18,21,-122.315658,47.675815
2022,1,28,19,-122.315658,47.675815
2022,1,21,11,-122.279454,47.707393
2022,1,13,12,-122.279454,47.707393
2022,1,23,20,-122.327006,47.68711
2022,1,3,23,-122.337677,47.606268
